,aw_lat,aw_long,aw_city,aw_state,aw_zip,aw_coord,aw_zip_str,miles_aw_to_aw
124,33.6435231,-84.50022259999999,East Point,Georgia,30344,"(33.64, -84.5)",30344,5.347502476120029
125,34.159670899999995,-83.63075769999998,Jefferson,Georgia,30549,"(34.16, -83.63)",30549,9.26216049899379
126,42.32885170000001,-87.9019375,Waukegan,Illinois,60085,"(42.33, -87.9)",60085,18.6433112633839
127,41.672056899999994,-88.1155193,Romeoville,Illinois,60446,"(41.67, -88.12)",60446,0.0
128,39.9656696,-86.38296270000002,Lebanon,Indiana,46052,"(39.97, -86.38)",46052,0.6899342352173721
129,39.981418299999994,-86.37655140000001,Whitestown,Indiana,46075,"(39.98, -86.38)",46075,0.6899342352173721
130,39.696449799999996,-86.3578005,Plainfield,Indiana,46168,"(39.7, -86.36)",46168,0.8717428663284098
131,38.2895656,-85.7304796,Jeffersonville,Indiana,47130,"(38.29, -85.73)",47130,6.577030593675176
132,39.6747924,-86.32595040000001,Indianapolis,Indiana,46241,"(39.67, -86.33)",46241,2.6155050047039063
133,38.9225117,-94.7793479,Lenexa,Kansas,66219,"(38.92, -94.78)",66219,0.0
134,38.772169,-94.945479,Gardner,Kansas,66030,"(38.77, -94.95)",66030,13.826030836108611
135,37.1045989,-95.58585129999999,Coffeyville,Kansas,67337,"(37.1, -95.59)",67337,120.36637374841311
136,39.074752399999994,-84.7182751,Hebron,Kentucky,41048,"(39.07, -84.72)",41048,0.8746346345130366
137,37.9822049,-85.68393619999998,Shepherdsville,Kentucky,40165,"(37.98, -85.68)",40165,0.0
138,37.982900799999996,-85.68726290000001,Shepherdsville,Kentucky,40165,"(37.98, -85.69)",40165,0.545913797641703
139,42.146910600000005,-71.06309,Stoughton,Massachusetts,2072,"(42.15, -71.06)",2072,26.995471600006166
140,42.162177,-83.23751700000003,Brownstown Charter Township,Michigan,48183,"(42.16, -83.24)",48183,17.46335258546441
141,36.2287803,-115.1055348,North Las Vegas,Nevada,89030,"(36.23, -115.11)",89030,3.549201671088129
142,36.2668804,-115.07440030000001,North Las Vegas,Nevada,89081,"(36.27, -115.07)",89081,3.549201671088129
143,39.610372999999996,-119.21253100000001,Fernley,Nevada,89408,"(39.61, -119.21)",89408,34.16097686207892
144,39.6037491,-119.8486126,Reno,Nevada,89506,"(39.6, -119.85)",89506,0.0
145,39.7753707,-75.37783449999998,Logan Township,New Jersey,8085,"(39.78, -75.38)",8085,1.3798195529113697
146,40.19562379999999,-74.5651555,Robbinsville Township,New Jersey,8691,"(40.2, -74.57)",8691,7.228942361669107
147,40.5827884,-74.2557139,Woodbridge Township,New Jersey,7001,"(40.58, -74.26)",7001,0.0
148,40.5836126,-74.25718100000002,Woodbridge Township,New Jersey,7001,"(40.58, -74.26)",7001,0.0
149,40.5836126,-74.25718100000002,Woodbridge Township,New Jersey,7001,"(40.58, -74.26)",7001,0.0
150,40.5188166,-74.31701070000001,Woodbridge Township,New Jersey,8832,"(40.52, -74.32)",8832,3.233635680191675
151,40.5952383,-74.22490079999999,Winfield,New Jersey,7036,"(40.6, -74.22)",7036,2.0700216068709016
152,40.5280941,-74.38097049999999,Edison,New Jersey,8817,"(40.53, -74.38)",8817,3.233635680191675
153,39.75845109999999,-75.3818465,Logan Township,New Jersey,8085,"(39.76, -75.38)",8085,1.3798195529113697
154,40.2917362,-74.50176379999998,Cranbury Township,New Jersey,8512,"(40.29, -74.5)",8512,7.228942361669107
155,35.923111,-78.83128099999998,Durham,North Carolina,27703,"(35.92, -78.83)",27703,112.44653825532508
156,41.3283271,-75.72114429999998,Pittston,Pennsylvania,18640,"(41.33, -75.72)",18640,2.9447516929611477
157,41.3130289,-75.77097109999998,Pittston,Pennsylvania,18640,"(41.31, -75.77)",18640,2.9447516929611477
158,40.5583972,-75.61389809999999,Breinigsville,Pennsylvania,18031,"(40.56, -75.61)",18031,0.5262529052040301
159,40.556289,-75.62169499999999,Breinigsville,Pennsylvania,18031,"(40.56, -75.62)",18031,0.5262529052040301
160,40.7403275,-75.2774111,Easton,Pennsylvania,18045,"(40.74, -75.28)",18045,21.331758626420825
161,40.1663469,-77.24167940000001,Carlisle,Pennsylvania,17015,"(40.17, -77.24)",17015,0.0
162,40.226746,-77.11322799999998,Carlisle,Pennsylvania,17015,"(40.23, -77.11)",17015,7.409924828603339
163,40.171393200000004,-76.83713909999999,Lewisberry,Pennsylvania,17339,"(40.17, -76.84)",17339,14.87242432361743
164,41.277027399999994,-75.49498929999999,,Pennsylvania,18424,"(41.28, -75.49)",18424,0.0
165,41.277027399999994,-75.49498929999999,,Pennsylvania,18424,"(41.28, -75.49)",18424,0.0
166,40.1663469,-77.24167940000001,Carlisle,Pennsylvania,17015,"(40.17, -77.24)",17015,0.0
167,33.9112437,-81.0502798,West Columbia,South Carolina,29172,"(33.91, -81.05)",29172,91.72182806732945
168,35.2828007,-84.8129606,Charleston,Tennessee,37310,"(35.28, -84.81)",37310,23.632171048646022
169,32.8998091,-97.0403352,DFW Airport,Texas,75261,"(32.9, -97.04)",75261,0.0
170,32.8998091,-97.0403352,DFW Airport,Texas,75261,"(32.9, -97.04)",75261,0.0
171,29.599737400000002,-98.2910219,Schertz,Texas,78154,"(29.6, -98.29)",78154,22.416585993163306
172,29.934448,-95.42832220000001,Houston,Texas,77067,"(29.93, -95.43)",77067,10.739206608439458
173,29.786064399999997,-95.9129329,Brookshire,Texas,77423,"(29.79, -95.91)",77423,30.388670469936915
174,37.3520174,-77.32705809999999,Chester,Virginia,23836,"(37.35, -77.33)",23836,0.0
175,37.3520174,-77.32705809999999,Chester,Virginia,23836,"(37.35, -77.33)",23836,0.0
176,38.9860544,-77.43984820000001,Sterling,Virginia,20166,"(38.99, -77.44)",20166,40.12918672460648
177,39.2896589,-78.0791182,Clear Brook,Virginia,22624,"(39.29, -78.08)",22624,40.12918672460648
178,37.73059620000001,-77.4561512,Ashland,Virginia,23005,"(37.73, -77.46)",23005,27.161532786250202
179,47.2408984,-122.24331780000001,Sumner,Washington,98390,"(47.24, -122.24)",98390,0.0
180,47.1124286,-122.63853190000002,DuPont,Washington,98327,"(47.11, -122.64)",98327,20.87247788241587
181,47.4138055,-122.26038159999999,Kent,Washington,98032,"(47.41, -122.26)",98032,0.0
182,47.4174678,-122.25984879999999,Kent,Washington,98032,"(47.42, -122.26)",98032,0.6908338590541051
183,47.5797029,-122.29711770000002,Seattle,Washington,98144,"(47.58, -122.3)",98144,6.251249585125203
