,county,state,state_abbrev,size_rank,avg_home_price,area_sq_mi,unemployment_rate,unemployment_change,high_school,population,int_migration_rate,net_migration_rate,pop_growth,poverty_rate,median_hh_income,property_tax_rate,amazon_indicator,walmart_indicator,warehouse_target,pop_density,latitude,longitude
0,Los Angeles County,California,CA,1,560333.4166666665,4750.94,4.8,-7.7,78.1,10118759,3.4560485519,-5.558295275,3.0168289261937447,14.9,64912,0.6990568035022188,0,1,1,2129.8435677992147,34.315507200000006,-118.2096814
1,San Diego County,California,CA,5,530174.8333333335,4525.68,4.0,-6.8000000000000025,86.69999999999997,3325468,3.4359351802,-1.311984723,7.158881528279841,11.9,76048,0.6990568035022188,0,0,0,734.7996323204468,32.9637838,-116.7706277
2,Orange County,California,CA,6,670382.6666666665,948.07,3.5,-6.1999999999999975,84.7,3179950,3.2664336934,-2.430614659,5.416469560184303,11.5,86031,0.6990568035022188,0,0,0,3354.1299693060637,33.750037799999994,-117.8704931
3,Riverside County,California,CA,11,341060.0,7303.42,5.2,-8.600000000000001,81.1,2417224,0.8079513412,8.9328833696,9.791374840347158,12.9,63776,0.6990568035022188,1,1,1,330.971517453467,33.721999100000005,-116.0372472
4,San Bernardino County,California,CA,12,307173.16666666674,20104.83,4.9,-8.6,79.2,2153203,0.7216533559,1.506748765,5.502104453405589,16.0,60270,0.6990568035022188,1,1,1,107.0987916833915,34.8253019,-116.0833144
5,Santa Clara County,California,CA,17,1009063.25,1304.07,3.2,-7.2,87.5,1933383,9.3384251057,-4.163642219,8.247339563367579,7.5,118468,0.6990568035022188,0,0,0,1482.5760887068946,37.2333253,-121.68463490000002
6,Alameda County,California,CA,22,742421.0,821.33,3.7,-7.2,87.5,1658131,6.5468981274,-0.525928104,9.589152456341292,9.3,95550,0.6990568035022188,1,0,1,2018.8365212521155,37.6090291,-121.899142
7,Sacramento County,California,CA,25,325200.33333333326,994.02,4.7,-7.899999999999999,87.0,1527718,2.9132398096,5.644196486699999,7.478750033417428,14.1,62959,0.6990568035022188,1,0,1,1536.9087141103796,38.4732259,-121.2980707
8,Contra Costa County,California,CA,37,613942.5833333335,803.77,3.8,-7.2,89.1,1144863,3.3934296996,3.2120144238,8.769484655967029,9.1,95062,0.6990568035022188,0,0,0,1424.3664232305262,37.9034806,-121.9175345
9,Fresno County,California,CA,46,220382.66666666663,6011.2,8.5,-8.2,74.6,986542,1.2990596071,0.8419453723,5.844991164760323,21.1,51452,0.6990568035022188,0,0,0,164.11731434655312,36.671350200000006,-119.8155355
10,Kern County,California,CA,62,199814.75,8162.64,9.2,-6.5,73.8,888988,1.0500471674,-0.8287469040000001,5.697015237696654,21.2,49904,0.6990568035022188,0,0,0,108.90937245793027,35.3145701,-118.7538222
11,Ventura County,California,CA,63,559748.5833333335,2208.38,4.5,-6.3000000000000025,84.0,850802,1.2660886509,-1.953259443,3.1112673154533224,9.5,82436,0.6990568035022188,0,0,0,385.26068883072656,34.4458248,-119.0779359
12,San Mateo County,California,CA,82,1148080.583333333,740.96,2.7,-5.7,88.9,768808,6.0585083265,-3.877653525,6.819688075306541,6.4,115908,0.6990568035022188,0,0,0,1037.583675232131,37.496904,-122.33305729999998
13,San Joaquin County,California,CA,87,318846.75,1426.5,7.0,-9.5,78.5,742516,1.4674161066999998,7.7493674989,8.056394763343404,15.5,60950,0.6990568035022188,1,0,1,520.5159481247811,37.9372901,-121.2773719
14,Stanislaus County,California,CA,125,274288.58333333326,1514.69,7.5,-9.4,77.7,545267,0.9550068261,4.002547914,5.8431764580280126,14.0,58925,0.6990568035022188,1,0,1,359.98587169651876,37.550087100000006,-121.0501425
15,Sonoma County,California,CA,137,577378.5833333335,1767.95,3.4,-7.4,87.6,503246,1.025340414,-1.098862886,3.810007096060861,9.3,79511,0.6990568035022188,0,0,0,284.6494527560168,38.5110803,-122.8473388
16,Tulare County,California,CA,146,190456.58333333328,4838.65,10.4,-6.799999999999999,68.6,463097,0.1733252448,-2.16656556,4.537984713111238,24.0,46377,0.6990568035022188,0,1,1,95.70789373068935,36.2516475,-118.852583
17,Santa Barbara County,California,CA,157,577022.5,3789.08,4.5,-5.199999999999998,80.5,445606,2.1993056125,-2.933905138,5.037538156917746,14.2,70651,0.6990568035022188,0,0,0,117.60268983499952,34.7136533,-119.9858232
18,Monterey County,California,CA,161,519768.83333333326,3771.22,7.2,-5.499999999999999,71.19999999999997,435477,0.8733182877,-6.49702842,4.582416737912948,11.9,70294,0.6990568035022188,0,0,0,115.47377241317136,36.2231079,-121.3877428
19,Solano County,California,CA,162,389442.75,906.19,4.8,-7.8,87.6,443877,1.5331015187,6.718924972000001,7.2311713661751345,10.0,75931,0.6990568035022188,0,0,0,489.8277403193591,38.2218938,-121.9163555
20,Placer County,California,CA,187,450180.83333333326,1502.46,3.9,-7.6999999999999975,94.5,385565,0.8681406754000001,15.265678503,10.153245758886484,7.8,81366,0.6990568035022188,0,0,0,256.62247247846864,39.1012064,-120.7650606
21,San Luis Obispo County,California,CA,239,557708.0,3615.55,3.6,-6.5,90.5,282838,0.5701173521,2.4539833852,4.8305257500787615,11.9,70634,0.6990568035022188,0,0,0,78.22820870960156,35.35402089999999,-120.3757163
22,Santa Cruz County,California,CA,250,749358.6666666665,607.17,5.7,-7.6,86.4,275105,0.960336991,-1.578735811,4.536283044606656,12.6,76633,0.6990568035022188,0,0,0,453.09386168618346,37.050096,-121.9905908
23,Merced County,California,CA,252,228688.41666666663,1978.51,9.4,-8.6,68.9,271340,0.274424219,4.0421945779,5.689980212828942,23.0,48036,0.6990568035022188,0,1,1,137.14360806869817,37.1641544,-120.7678602
24,Marin County,California,CA,256,1061646.416666667,828.19,2.9,-5.0,93.2,259725,2.0870247022,-4.408503377,2.6966647555406182,7.9,112735,0.6990568035022188,0,0,0,313.6055736002608,38.0409144,-122.6199638
25,Butte County,California,CA,284,255464.16666666663,1677.13,5.8,-8.100000000000001,88.7,229207,1.2243930697,11.493496235,4.211052763190798,18.1,48634,0.6990568035022188,0,0,0,136.66620953652966,39.6519275,-121.5858444
26,Yolo County,California,CA,308,403145.66666666674,1023.56,5.1,-7.0,86.19999999999997,218376,4.895069438999999,8.3566486751,8.599931371622663,17.5,64900,0.6990568035022188,0,1,1,213.34948610731172,38.7184542,-121.9059001
27,El Dorado County,California,CA,339,431986.33333333326,1786.36,4.4,-7.799999999999999,92.9,188722,0.6029818252,14.194085442,4.18973903154036,8.3,78464,0.6990568035022188,0,0,0,105.64611836359973,38.75741370000001,-120.5276129
28,Shasta County,California,CA,349,236938.0,3847.42,5.8,-11.0,90.7,179539,1.0108343572,6.5229532,1.2759692458694585,17.0,51207,0.6990568035022188,0,0,0,46.66477795509718,40.7965121,-121.9979194
29,Imperial County,California,CA,353,211231.08333333328,4481.72,19.5,-9.3,68.4,181574,1.2270549024,-3.100800902,3.916900360556287,20.7,43413,0.6990568035022188,0,0,0,40.514356095427644,33.0305487,-115.3595666
30,Kings County,California,CA,408,197707.75,1391.53,8.9,-7.200000000000001,72.8,149696,0.0,-7.987834427999999,-1.7620306993654065,18.4,55076,0.6990568035022188,0,1,1,107.5765524279031,36.0784807,-119.7956342
31,Madera County,California,CA,414,225850.75,2153.27,8.1,-8.500000000000002,71.6,155904,-0.199958718,3.0316321792000003,3.2435797253089285,21.2,50783,0.6990568035022188,0,0,0,72.4033679009135,37.1716264,-119.7737991
32,Napa County,California,CA,454,630426.5,788.58,3.6,-6.700000000000001,84.80000000000003,140386,1.0157296028,-6.534763878,2.6153441319221096,6.8,83881,0.6990568035022188,0,0,0,178.02378959648988,38.4898675,-122.3218414
33,Humboldt County,California,CA,458,295605.08333333326,4052.26,4.2,-6.4,90.5,136527,0.0146605532,0.9969176187,1.1311111111111112,19.7,46123,0.6990568035022188,0,0,0,33.69156964261918,40.5997415,-123.89977340000002
34,Nevada County,California,CA,589,417067.58333333326,973.8,4.1,-7.6,93.5,99503,0.2317765674,7.4773136088,0.7268309966087969,11.0,64901,0.6990568035022188,0,0,0,102.18011912096941,39.3540335,-120.8089843
35,Sutter County,California,CA,608,251201.08333333328,608.49,8.7,-9.7,78.6,96438,2.3604525414,0.3223525497,1.7783078108344854,13.2,54102,0.6990568035022188,0,0,0,158.48740324409604,38.9509675,-121.697088
36,Mendocino County,California,CA,646,351186.75,3878.14,4.5,-7.1,86.89999999999998,87697,-0.079963902,1.7020887714,-0.11731207289293848,16.3,50453,0.6990568035022188,0,0,0,22.61315991686736,39.3176491,-123.4126399
37,Yuba County,California,CA,743,225351.91666666663,643.81,7.4,-10.4,82.20000000000002,76775,0.6983930372,15.022038912000001,6.116102280580512,15.3,53822,0.6990568035022188,0,0,0,119.25102126403752,39.2839755,-121.3556818
38,Lake County,California,CA,808,204142.25,1329.42,5.8,-9.3,84.7,64162,-0.312387736,5.763553722899999,-0.8851471383332046,20.2,45797,0.6990568035022188,0,0,0,48.26315235215357,39.0505411,-122.7776556
39,Tehama County,California,CA,820,230939.75,2962.17,6.4,-9.0,84.1,63718,-0.362005194,4.1237113402,0.24069849760088105,20.1,41819,0.6990568035022188,0,1,1,21.51058176944605,40.1251334,-122.2015529
40,Tuolumne County,California,CA,904,258007.33333333328,2274.43,5.4,-9.8,90.8,54039,0.9095718515,9.1699692787,-2.087296841876393,12.2,58776,0.6990568035022188,0,0,0,23.75935948787169,38.056944,-119.9919351
41,San Benito County,California,CA,907,537905.6666666665,1390.47,5.8,-9.3,79.10000000000002,60199,-0.6195890620000001,8.808212066900001,8.43345281625448,8.4,77200,0.6990568035022188,0,0,0,43.29399411709709,36.6248089,-121.1177379
42,Calaveras County,California,CA,1054,289964.33333333326,1036.93,4.7,-9.7,90.0,45642,0.5717741492,10.555830447,0.3826867247294801,13.1,58536,0.6990568035022188,0,0,0,44.01647170011476,38.255818100000006,-120.4981492
43,Siskiyou County,California,CA,1068,181026.25,6347.34,7.2,-9.6,89.3,43784,0.2750306545,9.8323458969,-2.567982553740709,17.7,44013,0.6990568035022188,0,0,0,6.898007669354406,41.5007223,-122.54435414752092
44,Amador County,California,CA,1212,270496.91666666674,605.96,5.0,-9.1,89.80000000000003,38551,0.3684743845,32.136230244000004,1.7606377362474923,10.9,60588,0.6990568035022188,0,0,0,63.61971087200474,38.449089,-120.5911018
45,Lassen County,California,CA,1298,158247.0,4720.12,5.5,-8.5,82.30000000000003,31123,0.5158877299,3.8046720083,-10.64825447864033,16.3,58776,0.6990568035022188,0,0,0,6.59368829606027,40.7685579,-120.730998
46,Del Norte County,California,CA,1466,215764.83333333328,1229.74,6.4,-6.799999999999999,81.60000000000002,27428,-0.109389243,-1.020966272,-3.9904788574628967,24.6,39996,0.6990568035022188,0,0,0,22.303901637744566,41.7261767,-123.91328
47,Glenn County,California,CA,1488,195166.75,1326.98,7.5,-7.9,72.5,27956,-0.860107155,-1.648538714,-0.6044229538505298,14.8,49979,0.6990568035022188,0,0,0,21.067386094741444,39.5912766,-122.3778662
48,Colusa County,California,CA,1760,197317.41666666663,1156.36,14.2,-6.600000000000001,69.4,21675,-0.231331544,-2.081983899,1.1102299762093577,12.2,53595,0.6990568035022188,0,0,0,18.744162717492824,39.1465578,-122.2209563
49,Plumas County,California,CA,1831,233972.5,2613.43,8.9,-9.3,93.6,18740,0.1066325443,0.7464278098,-5.895350005021593,14.3,51756,0.6990568035022188,0,0,0,7.170653126351192,39.9430988,-120.8059521
50,Inyo County,California,CA,1889,320993.16666666674,10226.91,4.4,-5.299999999999999,88.6,17948,0.4451368796,-0.8346316490000001,-3.0466724286949005,11.8,53528,0.6990568035022188,0,0,0,1.754977798768152,36.5595325,-117.4074712
51,Mariposa County,California,CA,1905,255440.25,1462.82,5.8,-7.1000000000000005,90.1,17437,0.6878367534000001,1.6622721541,-4.595940252776714,15.2,52387,0.6990568035022188,0,0,0,11.920126878221517,37.570148,-119.9036592
52,Mono County,California,CA,2144,386194.08333333326,3131.88,4.4,-5.799999999999999,84.69999999999997,14235,2.8132362767,-2.672574463,-0.15431016342849127,9.3,60318,0.6990568035022188,0,0,0,4.54519330242538,37.9533927,-118.9398758
53,Trinity County,California,CA,2183,220888.33333333328,3207.6,6.2,-10.8,89.8,12726,0.0,-5.32164658,-7.474189326741311,20.3,40676,0.6990568035022188,0,0,0,3.9674523007856335,40.6053256,-123.171268
54,Modoc County,California,CA,2425,108736.41666666669,4203.4,8.1,-7.1,85.6,8848,1.1246696283,-6.74801777,-8.774100422723992,19.2,40970,0.6990568035022188,0,0,0,2.1049626492839133,41.5450487,-120.74359979999998
55,Sierra County,California,CA,2803,189742.0,962.21,6.5,-8.8,92.9,3009,0.0,16.426416359,-6.581806892269483,13.7,49495,0.6990568035022188,0,0,0,3.1271759802953616,39.5849065,-120.5305731
56,Alpine County,California,CA,2834,354921.75,743.18,6.2,-6.7,89.80000000000003,1121,0.0,60.60606060600001,-3.4453057708871664,18.1,55755,0.6990568035022188,0,0,0,1.508382895126349,38.5893934,-119.8345013
57,Cook County,Illinois,IL,2,225118.33333333328,1634.86,5.1,-5.8000000000000025,86.2,5204502,3.5510546051,-9.067036316,0.10263184518440073,14.6,61401,1.9543265129365657,0,1,1,3183.454240730093,41.8197385,-87.756525
58,DuPage County,Illinois,IL,51,278532.91666666674,336.41,3.9,-5.0,92.4,930662,3.3602850604000003,-5.6133621,1.3761003192709598,6.2,89536,1.9543265129365657,1,0,1,2766.45165125888,41.8603735,-88.0906873
59,Lake County,Illinois,IL,84,235157.91666666663,1368.48,4.6,-5.200000000000001,90.2,703006,2.2235640962,-6.464675167999999,-0.16841997637008088,7.7,86242,1.9543265129365657,1,0,1,513.7130246697067,42.3327033,-87.9939552
60,Will County,Illinois,IL,88,217470.33333333328,849.23,5.0,-6.1,90.9,691017,0.7436587867,-0.952405113,1.7970943610805843,7.0,82477,1.9543265129365657,1,1,1,813.6982913933798,41.41940579999999,-87.99947540000002
61,Kane County,Illinois,IL,124,215753.33333333328,524.2,4.9,-6.1,83.5,533156,0.7364136841,-3.075278574,3.2959794165969187,9.2,75739,1.9543265129365657,0,0,0,1017.0850820297596,41.923434,-88.4248315
62,McHenry County,Illinois,IL,207,197918.16666666663,610.81,4.4,-6.1,92.7,308013,0.4908103083,-0.919863028,-0.33909163563180084,6.1,86450,1.9543265129365657,0,0,0,504.2697401810711,42.3294391,-88.4605713
63,Winnebago County,Illinois,IL,218,100169.66666666669,519.25,6.5,-7.5,87.4,284740,1.4050603195,-7.596435842000001,-3.5067505286558585,14.2,53490,1.9543265129365657,0,0,0,548.3678382282136,42.3255276,-89.1496574
64,Madison County,Illinois,IL,241,118382.91666666669,740.56,4.8,-5.000000000000001,92.4,265471,0.2070767539,-1.626493776,-1.4386699635413187,14.4,58077,1.9543265129365657,1,0,1,358.4733174894675,38.811063,-89.90171120000002
65,Champaign County,Illinois,IL,307,140962.66666666663,998.39,4.4,-3.799999999999999,95.1,210104,9.6175591873,-4.180305429,4.248763278935799,19.2,51466,1.9543265129365657,0,0,0,210.44281292881539,40.1346857,-88.19755579999998
66,Sangamon County,Illinois,IL,315,130443.83333333331,877.02,4.3,-3.4000000000000004,92.4,196889,1.3522650439,-6.35108751,-0.4439567774198931,15.4,61519,1.9543265129365657,0,0,0,224.49773095254383,39.7623668,-89.64549050000002
67,Peoria County,Illinois,IL,333,102356.08333333331,630.6,5.9,-4.6,90.0,182578,1.9529390645,-17.21741543,-1.9562777559995916,15.4,54195,1.9543265129365657,0,0,0,289.5306057722804,40.8021278,-89.77137619999998
68,McLean County,Illinois,IL,362,150993.83333333337,1186.27,4.2,-2.8999999999999995,95.8,172845,4.7343092909,-6.549416882,1.7872916789352806,15.6,68895,1.9543265129365657,0,0,0,145.70460350510425,40.4631789,-88.8196613
69,Rock Island County,Illinois,IL,422,99405.16666666669,451.29,5.2,-4.3,88.8,144293,3.5782994788,-7.951009074,-2.251110990678517,12.9,51805,1.9543265129365657,0,0,0,319.7345387666466,41.4411786,-90.5766144
70,Tazewell County,Illinois,IL,456,124785.08333333331,657.94,5.4,-4.5,92.8,133391,0.4115565067,-3.771354171,-1.5462852250417016,9.1,61086,1.9543265129365657,0,0,0,202.7403714624434,40.5126429,-89.5442084
71,Kendall County,Illinois,IL,519,214978.33333333328,322.32,4.3,-5.8,92.0,126272,1.2277568722,5.5009885835,9.442956568466851,4.8,97039,1.9543265129365657,0,0,0,391.7597418714322,41.5853584,-88.4319488
72,Kankakee County,Illinois,IL,526,129302.5,681.36,5.5,-6.9,87.89999999999998,110544,0.3609815087,-5.947170356,-2.5348486585140058,15.0,57706,1.9543265129365657,0,0,0,162.24022543148996,41.1253903,-87.848682
73,Macon County,Illinois,IL,534,91396.91666666669,585.86,5.6,-5.6,90.0,105533,0.6416214150999999,-9.539400744,-4.73985413056037,14.3,51828,1.9543265129365657,0,0,0,180.1334789881541,39.8455208,-88.9602376
74,DeKalb County,Illinois,IL,558,158898.5,634.66,4.7,-5.8,92.7,104151,1.9410478776,-2.056357652,-0.9472452851721876,14.1,60856,1.9543265129365657,0,0,0,164.10519018056914,41.89034470000001,-88.7713953
75,Vermilion County,Illinois,IL,675,64086.91666666666,901.28,6.5,-4.9,87.29999999999998,77776,0.3071606834,-10.00831894,-4.73180710199782,19.4,43649,1.9543265129365657,0,0,0,86.2950470442038,40.1749809,-87.73238570000002
76,Adams County,Illinois,IL,779,111908.0,871.34,3.9,-3.8,91.8,66094,0.7088187611,-6.665912604,-1.5872543180464562,13.5,49088,1.9543265129365657,0,0,0,75.85328344848166,39.97877860000001,-91.2110065
77,Williamson County,Illinois,IL,790,97387.83333333331,444.35,5.2,-4.499999999999999,90.9,67107,0.9361974039,-5.364559727,1.0160765895953756,15.3,49993,1.9543265129365657,0,0,0,151.02284235400018,37.72485020000001,-88.9143385
78,Jackson County,Illinois,IL,855,123393.41666666669,602.38,4.5,-3.6999999999999993,92.2,57958,4.1975773982,-17.32143163,-4.004902610308732,29.2,38157,1.9543265129365657,0,0,0,96.21501377867793,37.7668943,-89.35638449999998
79,Whiteside County,Illinois,IL,873,101457.75,696.53,4.9,-5.4,89.6,55947,-0.071162348,-8.237041781,-4.328123396832997,12.9,54284,1.9543265129365657,0,1,1,80.32245560133806,41.76123320000001,-89.92147440000002
80,Boone County,Illinois,IL,921,143804.5,282.02,6.8,-7.000000000000001,86.7,53512,0.2054039923,-4.593580192,-1.0923608672347191,8.8,69413,1.9543265129365657,0,1,1,189.7454081270832,42.321246,-88.82355109999997
81,Coles County,Illinois,IL,924,81467.16666666669,510.08,4.7,-5.1000000000000005,90.8,51348,1.4740823353,-8.766910731,-4.6781020271775455,19.5,46012,1.9543265129365657,0,0,0,100.66656210790464,39.5266741,-88.21849990000003
82,Ogle County,Illinois,IL,927,125082.75,762.99,5.2,-7.2,89.00000000000001,51032,0.2544180676,-3.307434879,-4.475600396832824,9.7,60656,1.9543265129365657,0,0,0,66.88423177236922,42.0397014,-89.31385990000003
83,Knox County,Illinois,IL,933,69747.41666666669,719.81,5.3,-4.3,88.0,50628,2.1070043125,-4.981982159,-4.318409464592822,16.1,44686,1.9543265129365657,0,0,0,70.33522735166225,40.920889,-90.2202325
84,Henry County,Illinois,IL,968,102649.91666666669,825.64,5.2,-3.9,89.19999999999997,49246,0.2025172899,-4.495883836,-2.392325530691932,11.0,58675,1.9543265129365657,0,0,0,59.64585049173974,41.3418549,-90.1177442
85,Grundy County,Illinois,IL,973,177871.58333333337,430.45,5.7,-7.6,93.29999999999998,50613,0.0594536212,2.3583269751,0.9192056149306108,7.1,76214,1.9543265129365657,0,0,0,117.58160065048206,41.2747363,-88.41193609999998
86,Macoupin County,Illinois,IL,1006,82793.08333333331,867.65,4.9,-5.4,90.6,45515,0.1096443138,-1.228016315,-4.778342643151532,13.8,51756,1.9543265129365657,0,0,0,52.457788278683786,39.2420653,-89.925212
87,Stephenson County,Illinois,IL,1010,59027.5,565.06,4.7,-6.4,91.4,44981,0.6852494529000001,-9.505073056,-5.515995546873358,16.7,48237,1.9543265129365657,0,0,0,79.60393586521786,42.3503474,-89.6735637
88,Franklin County,Illinois,IL,1179,62048.25,431.44,6.6,-5.700000000000001,87.2,39004,0.30731014,-0.30731014,-2.5752466591732235,19.5,40682,1.9543265129365657,0,0,0,90.40422770257742,37.9765409,-88.9335327
89,Livingston County,Illinois,IL,1194,94048.83333333331,1045.93,4.5,-5.5,89.3,36115,1.107803088,1.107803088,-7.054251595635166,12.8,55003,1.9543265129365657,0,0,0,34.529079383897574,40.8682487,-88.5631125
90,Jefferson County,Illinois,IL,1196,87726.91666666669,583.78,5.5,-4.699999999999998,85.30000000000003,38111,0.9691191493,-5.264674297,-1.671869759281715,17.4,50622,1.9543265129365657,0,0,0,65.28315461303916,38.3010487,-88.9344303
91,Woodford County,Illinois,IL,1199,155584.91666666663,542.64,4.4,-3.3,94.6,38699,0.309182727,-6.029063176,0.07499353504008276,5.8,75733,1.9543265129365657,0,0,0,71.31615804216423,40.8145359,-89.2074215
92,Clinton County,Illinois,IL,1221,128350.16666666669,503.27,3.6,-3.7,89.0,37607,0.0797882951,-0.372345377,-0.6157505285412262,8.2,65586,1.9543265129365657,0,0,0,74.72529656049437,38.5896187,-89.420064
93,Fulton County,Illinois,IL,1237,71150.41666666669,882.57,6.5,-5.199999999999998,87.60000000000002,35095,0.0566973777,-8.221119773,-5.337972703242165,15.2,49315,1.9543265129365657,0,0,0,39.764551253724925,40.4714305,-90.1845556
94,Lee County,Illinois,IL,1270,92004.41666666669,728.95,4.4,-5.6,88.89999999999998,34511,0.2319075848,2.1451451597,-4.072159217255948,11.4,59450,1.9543265129365657,0,0,0,47.34343919336031,41.74590560000001,-89.2888533
95,Morgan County,Illinois,IL,1284,87217.75,572.3,4.4,-4.0,91.4,34199,1.3659812541,-10.55002543,-3.678355161244895,13.5,52357,1.9543265129365657,0,0,0,59.75712039140311,39.7062265,-90.190335
96,Bureau County,Illinois,IL,1296,87828.58333333331,873.5,4.9,-5.9,91.1,33168,0.5709220391,-5.198395409,-5.123144254698361,10.7,55632,1.9543265129365657,0,1,1,37.971379507727534,41.4016294,-89.5341179
97,Christian County,Illinois,IL,1304,74976.66666666669,715.64,5.3,-4.8,88.9,33011,-0.090600227,-4.348810872,-5.042572776435394,13.6,52817,1.9543265129365657,0,0,0,46.1279414230619,39.5212598,-89.2829783
98,Effingham County,Illinois,IL,1316,123997.0,480.01,3.8,-4.1000000000000005,92.0,34147,0.5853687090999999,-5.297586817,-0.22207287496712733,9.7,60061,1.9543265129365657,0,0,0,71.13810128955646,39.0520902,-88.6029006
99,Randolph County,Illinois,IL,1333,85315.41666666669,597.2,4.5,-4.300000000000002,84.0,32264,0.2782931354,-3.092145949,-3.5830618892508137,15.8,52749,1.9543265129365657,0,0,0,54.025452109845936,38.0472916,-89.81079620000001
100,Monroe County,Illinois,IL,1355,178948.0,398.04,3.4,-3.9,95.2,34159,0.029382814,5.4358205885,3.521532260508532,4.9,83767,1.9543265129365657,0,0,0,85.81800824037785,38.2722313,-90.1792484
101,McDonough County,Illinois,IL,1370,72066.58333333331,590.18,5.1,-3.4000000000000004,92.8,30323,2.8432301709,-17.64763554,-7.064484491847493,18.6,44524,1.9543265129365657,0,0,0,51.3792402317937,40.4376858,-90.6780272
102,Logan County,Illinois,IL,1418,88825.16666666669,618.93,4.6,-4.1,89.2,29015,0.34383166,-2.991335442,-4.190331528199709,12.2,56838,1.9543265129365657,0,0,0,46.879291680803966,40.1075089,-89.37685390000001
103,Montgomery County,Illinois,IL,1420,64327.0,709.68,5.8,-6.500000000000001,86.7,28755,0.0345954922,-7.8185812389999985,-4.452566871573351,15.5,51206,1.9543265129365657,0,0,0,40.518261751775455,39.2052633,-89.5057126
104,Iroquois County,Illinois,IL,1430,87040.91666666669,1118.93,4.6,-5.5,89.39999999999998,27830,0.3214400514,-10.7860995,-6.299451196929398,12.9,50131,1.9543265129365657,0,0,0,24.871975905552624,40.7351265,-87.83092090000002
105,Saline County,Illinois,IL,1599,66054.5,386.78,6.5,-3.6999999999999993,86.80000000000003,24035,0.041437895,-6.381435823,-3.477771977029035,18.6,41394,1.9543265129365657,0,0,0,62.14126893841461,37.750075,-88.53025840000002
106,Jersey County,Illinois,IL,1685,112223.58333333331,377.13,4.9,-4.299999999999999,91.3,21901,0.7761316684999999,0.5022028443,-4.653896386591207,10.3,58928,1.9543265129365657,0,0,0,58.07281308832498,39.0848464,-90.3303344
107,Jo Daviess County,Illinois,IL,1695,159327.66666666663,618.73,4.5,-4.4,92.0,21549,0.5070175843,-9.310686548,-4.852525609325327,9.3,51866,1.9543265129365657,0,0,0,34.827792413492155,42.3506664,-90.1743742
108,Shelby County,Illinois,IL,1712,90207.66666666669,768.07,4.5,-5.199999999999998,92.2,21752,0.1839503334,0.32191308350000003,-2.7104392163878703,10.3,51873,1.9543265129365657,0,0,0,28.320335386097607,39.3665064,-88.78862779999999
109,Perry County,Illinois,IL,1714,66666.5,446.95,6.1,-4.9,85.0,21297,0.2342578711,-4.45089955,-4.5619538427067,15.6,50553,1.9543265129365657,0,0,0,47.64962523772234,38.0772859,-89.37604990000001
110,Fayette County,Illinois,IL,1725,76208.16666666669,725.34,5.6,-4.5,82.5,21535,0.0928052713,-3.10897659,-2.6886579304112064,18.2,45193,1.9543265129365657,0,0,0,29.689524912454853,39.0001282,-89.04302109999998
111,Douglas County,Illinois,IL,1833,96989.33333333331,417.22,4.2,-4.6000000000000005,82.6,19639,0.0,-7.418887675,-1.7165448904013612,9.8,54538,1.9543265129365657,0,0,0,47.07108959302047,39.7628415,-88.21705159999998
112,Crawford County,Illinois,IL,1842,73346.25,445.82,5.3,-3.2,86.80000000000003,18955,0.0525058413,-7.770864509,-4.277345722654277,13.8,49712,1.9543265129365657,0,0,0,42.517159391682746,39.0131644,-87.7291001
113,Hancock County,Illinois,IL,1868,78122.5,814.4,5.2,-5.4,92.5,17973,0.27642636,-10.94648386,-5.856162589701952,11.7,52625,1.9543265129365657,0,0,0,22.069007858546165,40.3941712,-91.1458063
114,Edgar County,Illinois,IL,1886,62731.5,624.0,4.9,-6.299999999999999,88.5,17411,0.3435540668,-4.294425835,-5.922083535959366,13.8,46916,1.9543265129365657,0,0,0,27.90224358974359,39.6714952,-87.73403640000002
115,Union County,Illinois,IL,1926,95453.75,422.15,6.5,-5.5,87.5,16985,0.2932809338,-4.575182567,-4.22892585283338,19.0,45847,1.9543265129365657,0,0,0,40.23451379841289,37.4616454,-89.2504793
116,Bond County,Illinois,IL,1929,96769.5,382.76,4.5,-5.5,89.1,16635,0.3617072583,7.3547142513,-6.4766402428740095,13.3,54831,1.9543265129365657,0,0,0,43.46065419584074,38.8630331,-89.4391416
117,Warren County,Illinois,IL,1932,75288.83333333331,543.05,4.2,-3.6,87.8,17170,2.958837351,-10.61700461,-3.0983689824482195,11.7,54023,1.9543265129365657,0,0,0,31.617714759230275,40.8442828,-90.6168408
118,Lawrence County,Illinois,IL,1983,43731.91666666666,374.14,6.1,-4.6,82.89999999999998,16000,0.0621755215,-7.0880094510000005,-5.548996458087367,17.3,45235,1.9543265129365657,0,0,0,42.76474047148128,38.71089979999999,-87.7194375
119,Wayne County,Illinois,IL,1987,67677.58333333331,715.49,6.2,-2.7,87.10000000000002,16442,0.5456033464,-6.668485344,-1.768431114828534,14.0,46339,1.9543265129365657,0,0,0,22.9800556262142,38.4251958,-88.4197678
120,Piatt County,Illinois,IL,1989,138546.16666666663,439.46,4.1,-3.7,94.6,16456,0.121278273,-5.518161421,-1.5141540487162608,6.3,67173,1.9543265129365657,0,0,0,37.44595640103764,39.967291,-88.60723990000002
121,Mercer County,Illinois,IL,2009,83302.08333333331,568.69,5.2,-4.7,92.2,15623,0.1281147909,2.7544680033,-4.7958561852528945,10.6,52846,1.9543265129365657,0,0,0,27.471909124479065,41.2019729,-90.7398717
